,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,FACILITYTYPE,FACILITYSUBTYPE,CLASS,HR24,OPENINGHR,CATEGORY,GRADE,SELFREPORTEDSCORECARD,CONCERNSAREA,CONFISCATIONDESTRUCTION,longitude,latitude
338,339,AL SHAWAMIKH PHARMACY,صـيدلية الشـوامخ,02-5841545,shawamikh_ph@hotmail.com,2-5841545,93934,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.64850425999998,24.352712629999985
339,340,AL YAHAR PHARMACY,صـيدلية اليحــر,03-7816141,uaesoul12@yahoo.com,3-7815594,81235,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.55291175999997,24.224407199999973
340,341,ALAIN HOSPITAL INPAITENT PHARMACY,الصيدلية الداخلية - مستشفى العين,(971)-3-7063089,asheda@alain-hospital.ae,(971)-3-7063089,1006,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,55.73355674999999,24.230731960000014
341,342,ALPHA CARE PHARMACY L.L.C,صيدلية ألفا كير ذ.م .م,02-5558383,alphacare24x7@gmail.com,2-5558485,45932,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.51681400000001,24.36949900000002
342,343,ALQASER ALAINY PHARMACY,صيدلية القصر العيني,02-6268802,alkasrph1@hotmail.com,2-6261187,55205,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35760689,24.491260529999977
343,344,BETTER LIFE PHARMACY LLC-BRANCH 1,صيدلية الحياة السعيدة ذ.م.م - فرع 1,02-6393960,ahliamed@emirates.net.ae,2-6393969,75751,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.51167099999998,24.34677499999998
344,345,BIN SINA DUTY FREE PHARMACY,صـيدلية ابـن سينـــا السـوق الحـرة,02-5757316,bsp.addf@akigroup.com,2-5757924,3167,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.647010799999975,24.428112030000023
345,346,BOOTS AL BAWADI MALL PHARMACY,صيدلية بووتس البوادي مول,03-7018055,kayed.elsaadi@alshaya.com,4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.80763245000003,24.16016768999998
346,347,BOOTS ALWAHDA PHARMAY,صـيدلية بووتـس الوحــده,(971)-2-6958207,kayed.elsaadi@alshaya.com,(971)-4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37298012000002,24.470548629999996
347,348,BOOTS TAWAM PHARMACY,صيدلية بووتس توام,03-7018080,kayed.elsaadi@alshaya.com,4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.64990997000001,24.195940020000023
348,349,CANADIAN PHARMACY LLC,الصيدلية الكندية ذ.م.م,02-5556166,canadianpharmacyad@gmail.com,2-5556167,44954,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37713100000002,24.462113999999985
349,350,CITY LIGHT PHARMACY,صيدلية مدينة النور,03-7803929,haadpf1323@gmail.com,3-7803929,65069,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.69198990000001,24.222666740000022
350,351,CITY PHARMACY COMPANY- WLL,شركة صـيدلية المـــدينـة ذ.م.م,(971)-2-6277730,cityphrm@emirates.net.ae,(971)-2-6269490,2098,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.362646100000006,24.489786149999986
351,352,CLEVELAND CLINIC ABU DHABI PHARMACY LLC,صيدلية كليفلاند كلينيك أبوظبي ذ م م,02-4130000,onaqbi@mubadala.ae,2-4130001,45005,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.38798600000001,24.49749700000001
352,353,CORNICHE HOSPITAL PHARMACY,صيدلية مستشفى الكورنيش,02-6965317,AdminCH@seha.ae,2-8117330,3788,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.36961554999999,24.50140190000002
353,354,DOT COM PHARMACY,صيدلية دوت كوم,(971)-5-0444456,DOTCOMPHARMACY64@gmail.com,(971)-2-6266678,70390,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38336800000002,24.46863000000002
354,355,EASTERN AL AHLIA PHARMACY,الصيدلية الشرقية الاهلية,02-5856008,ahliamed@emirates.net.ae,2-5856007,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.630714420000004,24.26007843000002
355,356,EMIRATES PHARMACY,صـيدلية الامــارات,3-7642717,emiratespharmacy@gmail.com,3-7667930,15950,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.76790619000002,24.221856119999984
356,357,MAFRAQ HOSPITAL PHARMACY - OUT-PATIENT,صيدلية  مستشفى المفرق,02-5011111,lhuntley@mafraqhospital.ae,2-5698471,2951,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.604995943999995,24.330303828000012
357,358,SUMMER LAND PHARMACY L.L.C,صيدلية سمر لاند ذ.م.م,02-5822888,summerlandpharmacy18@gmail.com,2-5596995,113522,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.627940000000024,24.339399000000014
358,359,SWAT PHARMACY,صيدلية سوات,02-5546199,swat.100515@gmail.com,2-5546749,93237,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49177900000001,24.35272900000001
359,360,TAWAM HOSPITAL PHARMACY- MAIN BUILDING,صيدلية مستشفى توام المبنى الرئيسي,03-7075256,jajmi@seha.ae,3-7075210,15258,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,55.64990997000001,24.195940020000023
360,361,UNIVERSAL PHARMACY LLC,الصيدلية العالمية - ذ م م,2-6761855,drmuwaffaq@hotmail.com,2-6761855,25260,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37309264999999,24.49896622
361,362,VITA CARE PHARMACY,صيدلية فيتا كير,02-6450848,vita_care@yahoo.com,2-6450858,110561,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38249999999999,24.464282000000026
362,363,WESTERN AL AHLIYA PHARMACY,الصــيدلية الغربيــة الاهليـة,02-8743180,ahliamed@emirates.net.ae,2-8741267,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,52.80842209000002,23.843446729999982
363,364,NEW AL AHRAM PHARMACY,صـيدلية الأهـرام الجـديدة,(971)-2-6442869,nancy-nb@hotmail.com,(971)-2-6442869,43236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37773894999998,24.49427222999998
364,365,NEW MEDICAL CENTRE SPECIALTY HOSPITAL PHARMACY L.L.C,صيدلية مستشفى المركز الطبي الجديد التخصصي ذ م م,(971)-2-6217926,trading@nmc.ae,(971)-2-6212120,6222,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.74279403999998,24.229972840000016
365,366,NEW PHARMACY COMPANY W L L,شــركة الصــيدلية الجـــديدة - ذ م م,02-6179269,mohammad.darweesh@nmc.ae,2-6212120,62222,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.36140633000002,24.483377459999986
366,367,NEW SAD MAARAB PHARMACY,صـيدلية سـد مـأرب الجـديدة,02-5633073,haadpf1157@gmail.com,2-5645252,11535,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.694690700000024,24.559566500000017
367,368,PHARMACY THE SPECIALIST DIABETES TREATMENT & RESEARCH CENTRE (IMPERIAL COLLEGE LONDON DIABETES CENTRE) L.L.C - BRANCH 2,صيدلية المركز التخصصي لعلاج وأبحاث السكري ( مركز إمبريال كوليدج لندن للسكري) ذ.م.م - فرع 2,02-4040800,esakr@mdcbms.ae,2-4040800,48338,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.452770999999984,24.420450000000017
368,369,RAINBOW CITY PHARMACY LLC,صيدلية قوس قزح المدينة ذ م م,(971)-2-5542322,rainbowcitypharmacy@gmail.com,(971)-2-5542355,92552,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.517267230000016,24.36496543999999
369,370,SAHARA PHARMACY LLC,صيدلية صحاري ذ.م.م,(971)-2-5556392,saharapharmacy1@gmail.com,(971)-2-5556394,9239,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.481082000000015,24.347387000000026
370,371,SANDS PHARMACY,صـيدلية  الرمــال,02-6425688,pf1256@yahoo.com,2-6411624,4159,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37265968000003,24.480314249999992
371,372,HEALTH FIRST PHARMACY - BRANCH 17,صيدلية هيلث فيرست - فرع 17,02-6219720,NOURRAMADAN@PLANETME.AE,2-6219780,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.729199600000015,24.446379200000024
372,373,HEALTH FIRST PHARMACY -BRANCH 6,صيدلية هيلث فيرست - فرع 6,02-6668798,nourramadan@planetme.ae,2-6668798,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.353355410000006,24.47574234000001
373,374,GOLDEN LIFE PHARMACY L.L.C,صيدلية جولدن لايف ذ.م.م,(971)-3-7221676,SAJEEV@LIFE-ME.COM,(971)-3-7221757,71246,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.78188,24.222508000000005
374,375,Health Point Hospital LLC Outpatient Pharmacy,الصيدلية الخارجية لمستشفي هيلث بوينت ذ م م,(971)-2-4929300,falhammadi@mubadala.ae,(971)-2-4929300,112308,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.45292699999999,24.419239000000005
375,376,IBN SINA PHARMACY L.L.C. - BRANCH 1,صيدلية ابن سينا ذ.م.م - فرع 1,(971)-2-6669240,bsp.danapz@akigroup.com,(971)-2-6678768,4236,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.34661102000001,24.472902299999987
376,377,IBN SINA PHARMACY L.L.C. - BRANCH 18,صيدلية ابن سينا ذ.م.م - فرع 18,(971)-2-5661251,bsp.af3@akigroup.com,(971)-2-5661210,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.739765999999975,24.458191999999997
377,378,JUNAID PHARMACY BRANCH-1,صيدلية جنيد   فرع-1,02-5529944,jpharmacy2012@gmail.com,2-5529945,115053,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53487069099998,24.337327921999986
378,379,IBN SINA PHARMACY L.L.C. - BRANCH 8,صيدلية ابن سينا ذ.م.م - فرع 8,(971)-2-6395246,bsp.khalidiya@akigroup.com,(971)-2-6395241,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.34184099999999,24.469761000000005
379,380,KHYBER PHARMACY LLC,صيدلية خيبر ذ م م,02-5836800,farhan2001ae@yahoo.com,2-5835853,55687,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.63920783999998,24.286499020000008
380,381,SHEIKH KHALIFA MEDICAL CITY PHARMACY-DIABETIC CLINIC,صيدلية مدينة الشيخ خليفة الطبية - عيادة السكري,02-8191933,ryoussif@skmc.ae,2-6103299,51900,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.365573944000005,24.47093572900002
381,382,KNIGHTS PHARMACY,صـيدلية الفرسـان,(971)-2-6767366,Pharmacy@aesmc.com,(971)-2-6767399,32866,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36288452000002,24.480824470000016
382,383,MAIN ADNOC PHARMCY,صيدلية أدنوك الرئيسية,02-7071275,mfabdulla@adnoc.com,2-6664709,898,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.32490920999999,24.46145058000002
383,384,AL AIN PHARMACY BAWADI MALL - L L C,صيدلية العين بوادي مول - ذ م م,03-7840410,info@alain-pharmacy.com,3-7840420,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.73048018999998,24.24248123000001
384,385,LOTUS  PHARMACY LLC,صيدلية  لوتس ذ .م .م,(971)-2-6179269,sunil.mathews@nmc.ae,(971)-2-6212120,6222,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.531676000000004,24.374874999999975
385,386,AL INMA PHARMACY- L L C,صـيدلية الإنمــاء- ذ م م,(971)-2-6213911,inmaa_ph@Emirates.net.ae,(971)-2-6213911,53652,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35225295999999,24.481611250000014
386,387,AL MADAR MEDICAL CENTER PHARMACY L.L.C,صيدلية مركز المدار الطبي ذ.م.م,3-7667666,naser.othman@mediclinic.ae,3-7647479,68339,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.720500000000015,24.243100000000027
387,388,AL MANARA AL RUWAIS PHARMACY,صيدلية المنارة الرويس,(971)-2-8760210,Afrah@delta-uae.com,(971)-2-8760211,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,52.67228699999998,24.07583199999999
388,389,AL MANARA PHARMACY AL SHAWAMEKH,صيدلية المنارة الشوامخ,(971)-2-6814644,dralfahim@gmail.com,(971)-2-6814645,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.72267900000003,24.386965999999973
389,390,AL MANARA PHARMACY MARINA MALL,صـيدلية المنـارة مارينـا مـول,02-6814644,deltamed@emirates.net.ae,2-6814645,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.32109451000002,24.476179119999983
390,391,AL NAJAH PHARMACY,صـيدلية النجـاح,(971)-2-6337993,alnajah.pharmacy@yahoo.com,(971)-2-6315660,27148,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37346839999998,24.501829149999992
391,392,MEDICLINIC PHARMACY - ALNOOR,صيدلية ميديكلينيك - النور,(971)-2-4066933,Bernil.Salarda@Mediclinic.ae,(971)-2-5598419,46713,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.371364589999985,24.494928360000017
392,393,MEDICINA AL MUNEERA PHARMACY,صيدلية ميديسينا المنيرة,02-5513004,amro.abbas@pharmalink.ae,2-5520611,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.60484700000001,24.451549
393,394,LULU ALFOAH PHARMACY.LLC,صيدلية لولو الفوعة . ذ م م,03-7843221,haadpf1700@gmail.com,3-7843129,87001,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.79263114999998,24.344112399999972
394,395,MEDICINA PHARMACY - BRANCH 15,صيدلية ميديسينا - فرع 15,(971)-2-4458584,amro.abbas@pharmalink.ae,(971)-2-4458574,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.372329709999974,24.467763900000023
395,396,MEDICINA PHARMACY -BRANCH 4,صيدلية ميديسينا -فرع 4,02-3042020,amro.abbas@pharmalink.ae,2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.405921999999975,24.510782000000006
396,397,NATIONAL HOSPITAL  PHARMACY,صيدلية المستشفى الوطني - ذ م م,(971)-2-6711000,nat-hosp@eim.ae,(971)-2-6720900,30666,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.37308883999998,24.490056990000028
397,398,NEDHAL PHARMACY,صـيدلية نضــال,03-7222384,nedhal4.phy@gmail.com,3-7222384,84281,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.759983060000025,24.19581126999998
398,399,AL QUAA HEALTHCARE CENTER PHARMACY,صيدلية مركز القوع الصحي,(971)-2-7113711,ahs@seha.ae,(971)-2-7113711,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.422077179999974,23.39767741999998
399,400,AL RAHBA HOSPITAL PHARMACY - INPATIENT PHARMACY,صيدلية مستشفى الرحبة- صيدلية داخلية,(971)-2-5064006,rahbaceo@seha.ae,(971)-2-5064444,34555,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.69444275000001,24.572727199999974
400,401,AL RODA PHARMACY L L C,صيدلية الروضة  ذ م م,03-7633770,info@alain-pharmacy.com,3-7637372,15325,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.75325012000002,24.244970319999993
401,402,AL THIQA AL ALMYIAH PHARMACY L.L.C,صيدلية الثقة العالمية ذ.م.م,02-4419283,ceo@mco.ae,2-4419286,47612,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.69416045999998,24.555078509999987
402,403,AL SHAHAB PHARMACY,صـيدلية الشهــاب,03-7515566,albayanpharmacy@yahoo.com,3-7516679,15435,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.542419429999995,24.221000670000024
403,404,AL WIFAQ PHARMACY,صيدلية الوفاق,02-6741798,rxgahs328@yahoo.com,2-6741798,2122,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.374877930000025,24.49608231000002
404,405,ALMANARA PHARMACY HILI MALL,صيدلية المنارة هيلي مول,3-7853977,safia@sinamed.ae,3-7853991,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77942300000001,24.273776999999995
405,406,ALRAHA PHARMACY,صـيدلية الراحة,(971)-2-6314400,majid@alrahahospital.com,(971)-2-6336198,8119,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.36997222999997,24.489532469999972
406,407,ALTHIQA AL DOWALIAH PHARMACY L.L.C,صيدلية الثقة الدولية ذ.م.م,02-4419283,christa@mco.ae,2-4419286,44548,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.37239837999999,24.47591209000001
407,408,AMAL PHARMACY,صيدلية الامـل,(971)-2-5832331,suliman_amc@hotmail.com,(971)-2-5834011,11173,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.64797973999998,24.28251266000001
408,409,ARAFAT PHARMACY WLL - BRANCH,صيدلية عرفات ذ م م فرع,02-5506906,arapharma@gmail.com,2-5506903,8147,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49508900000001,24.345950000000016
409,410,ASTER PHARMACIES GROUP LLC - BRANCH OF ABU DHABI 6,مجموعة صيدلية استر ش ذ م م - فرع ابوظبي 6,(971)-2-5584915,pr@asterpharmacy.com,(971)-2-5584915,34875,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.535290299999986,24.330037800000014
410,411,BAREEN INTERNATIONAL HOSPITAL PHARMACY,صيدلية مستشفى بارين الدولي,(971)-2-5504664,ahmed.almasri@fakihivf.com,(971)-2-5504664,31453,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.554373,24.339156000000003
411,412,BOOTS AL AIN MALL PHARMACY,صيدلية بووتس العين مول,03-7018014,kayed.elsaadi@alshaya.com,4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.78213310000001,24.22244453000002
412,413,BURJEEL PHARMACY L C C-BRANCH 8,صيدلية برجيل ذ.م.م-فرع 8,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222366,73048,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.365455629999985,24.483911509999984
413,414,Burjeel Pharmacy L.L.C-Branch 4,صيدلية برجيل ذ.م.م- فرع 4,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222366,73048,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.41275406,24.43454360999999
414,415,CENTRAL PHARMACY,الصـيدلية المركــزية,(971)-2-6324866,centralpharmacy31@gmaill.com,(971)-2-6324668,46005,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36520767000002,24.48968315000002
415,416,COOPERATIVE AL AIN PHARMACY - CO L LC,صيدليه العين التعاونيه ذ م م,(971)-03-7675074,info@alain-pharmacy.com,(971)-3-7675073,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.71986198000002,24.207220080000013
416,417,COSMESURGE AND EMIRATES HOSPITAL PHARMACY L.L.C - BRANCH 1,صيدلية كوزمسيرج ومستشفى الامارات ذ.م.م - فرع 1,02-5565141,haad@emirateshospital.ae,2-5565140,30907,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.57282638999999,24.403450009999972
417,418,DAAR AL MISBAH PHARMACY,صيدلية دار المصباح,02-5535544,daralmishbahpharmacy@gmail.com,2-5535599,92947,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.503558999999996,24.360005
418,419,DAWN PHARMACY COMPANY - WLL,شركة صيدلية الفجر - ذ م م,02-5831929,ahliamed@emirates.net.ae,2-5831929,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.64056015,24.285459520000018
419,420,EL YAZIYA PHARMACY,صـيدلية اليـازية,02-4493700,elyazia782@rediffmail.com,2-4492800,46333,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.435712809999984,24.43404387999999
420,421,HEALTH SHEILD MEDICAL CENTER LLC PHARMACY,صيدلية مركز هيلث شيلد الطبي ذ م م,(971)-2-6989999,louay@capital-health.ae,(971)-2-6989929,230,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.360080719999985,24.493034360000024
421,422,SER AL DAWAA PHARMACY,صيدلية سر الدواء,(971)-2-6723232,walla@almaz.net.ae,(971)-2-6720199,80695,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.768470760000014,24.224760059999994
422,423,STANDARD PHARMACY,صـيدلية المســتوى,2-5513394,standardpharmacy@gmail.com,2-5513713,132410,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49695778,24.351734159999978
423,424,TALAT PHARMACY AL MUSAFFAH,صــيدلية طــلعت المصــفح,02-5526909,talatmed@emirtes.net.ae,2-5526906,105034,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53595924000001,24.323953630000005
424,425,TIME CURE PHARMACY,صيدلية تايم كيور,02-5831896,pharmacy@timecuremc.com,2-5508997,46182,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49611199999998,24.34404699999999
425,426,TOP CARE PHARMACY,صـيدلية قمـة العنايـة,02-5500625,topcarem@emirates.net.ae,2-5500621,40490,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.488374710000016,24.34005737000001
426,427,ULTRA MEDICAL CENTER PHARMACY,صيدلية مركز الترا الطبي,03-7625552,amoda1981@gmail.com,3-7625552,19942,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.37013625999998,24.462123870000028
427,428,UNIVERSAL HOSPITAL PHARMACY LLC - BRANCH 1,صيدلية مستشفى يونيفيرسال ذ.م.م - فرع 1,(971)-2-5999555,haad@universalhospitals.com,(971)-2-6439992,5056,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.65407699999997,24.312566000000004
428,429,WELL CARE PHARMACY L L C,صيدلية ويل كير ذ.م.م,02-6761199,amro.abbas@pharmalink.ae,2-6766000,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37184400000001,24.49051700000001
429,430,NEW AL DAMAN  PHARMACY L L C,صيدلية الضمان الجديدة ذ م م,02-6215700,damangroup.pharma@gmail.com,2-6216700,126941,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36308860999998,24.488183979999974
430,431,NEW AL HANAN PHARMACY,صـيدلية الحنـان الجـديدة,(971)-2-6443732,merajpharmacyllc@gmail.com,(971)-2-6449869,28020,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38109398,24.493476869999995
431,432,Nova Pharmacy,صيدلية نوفا,03-7550388,novapharmacyuae@gmail.com,3-7550377,23688,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.730823999999984,24.22538400000002
432,433,POLY CLINIC PHARMACY,صيدلية العيادات الخارجية,(971)-3-7072066,rkalantar@seha.ae,(971)-3-7072074,15258,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.64990997000001,24.195940020000023
433,434,PRESTIGE PHARMACY,صيدلية بريستيج,02-5858588,prestigepharmacy@hotmail.com,2-5858535,10343,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.62676800000003,24.29362500000002
434,435,DANA MEDICAL CENTER PHARMACY L.L.C.,صيدلية مركز الدانة الطبي ذ.م.م.,02-6661551,healthline@healthlineuae.com,2-6661711,74812,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.637649539999984,24.297554020000007
435,436,GOOD LIFE PHARMACY,صيدلية جود لايف,03-7351336,pharmacygoodlife@yahoo.com,3-7351336,15439,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.43048900000002,23.414089999999987
436,437,HEALTH FIRST PHARMACY - BRANCH 13,صيدلية هيلث فيرست - فرع 13,02-5646364,nourramadan@planetme.ae,2-5646881,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.67141600000002,24.523466999999982
437,438,HEALTH FIRST PHARMACY - BRANCH 2,صيدلية هيلث فيرست - فرع 2,02-5834451,nourramadan@planetme.ae,2-5834459,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.64183043999998,24.286792760000026
438,439,HEALTH FIRST PHARMACY - BRANCH 5,صيدلية هيلث فيرست - فرع 5,02-5530036,nourramadan@planetme.ae,2-5530037,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53079223999998,24.32847308999999
439,440,GAYATHY HOSPITAL IN PATIENT PHARMACY,الصيدلية الداخلية - مستشفى غياثي,02-8076045,ah_saeed@seha.ae,2-8742993,77695,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,52.81067100000001,23.870839999999987
440,441,GHANTOOT PHARMACY,صـيدلية غنتــوت,3-7822310,ghanthootphy@hotmail.com,3-7822300,23215,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.83343315000002,24.08514022999998
441,442,GIGI PHARMACY LLC,صيدلية جي جي ذ م م,(971)-2-6289371,hussein.legaladvice@gmail.com,(971)-2-6289375,24,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36859512000001,24.478727339999978
442,443,IBN SINA PHARMACY L.L.C. - BRANCH 5,صيدلية ابن سينا ذ.م.م - فرع 5,02-5512385,delmamallgf@akigroup.com,2-5512384,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.52374268,24.333050730000025
443,444,GULF DIAGNOSTIC CENTER HOSPITAL INPATIENT PHARMACY W L L,الصيدلية الداخلية لمستشفى مركز الخليج للتشخيص ذ م م,(971)-2-4177316,imran.ghulam@gdc-hospital.com,(971)-2-6658084,30702,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.36376323100001,24.449381790000018
444,445,SHEIKH KHALIFA MEDICAL CITY PHARMACY - OUTPATIENT,صيدلية مدينة الشيخ خليفة الطبية,2-8193257,falhaddad@skmc.ae,2-6103299,51900,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.366596000000015,24.469670000000008
445,446,AL BAHYA HEALTHCARE CENTER PHARMACY,صيدلية مركز الباهية الصحي,02-7113711,ahs@seha.ae,2-7113711,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.63756667000001,24.29759999999999
446,447,L A INTERNATIONAL PHARMACY L.L.C.,صيدليه ال ايه انترناشونال ذ.م.م,02-5555202,rosalie@lahmgroup.com,2-5555207,145432,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53347236100001,24.335152504000007
447,448,MAJED PHARMACY,صـيدلية ماجــد,03-7512117,majidpharmacy@ymail.com,3-7641117,15656,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77007484000001,24.22258758999999
448,449,MAJED PHARMACY - BRANCH 1,صيدلية ماجد - فرع 1,03-7640881,majedpharmacybr1@gmail.com,3-7512117,69322,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77003500000001,24.222550000000012
449,450,AL AIN MODERN PHARMACY L L C,صـيدلية العــين الحــديثة ذ م م,03-7628919,info@alain-pharmacy.com,3-7515019,15325,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.73048018999998,24.24248123000001
